"","InterZone","InterZone_Name","CPP","Typology_Group","Typology_Name","Indicator","Type","Year","value","IndicatorFullName","High is Positive","CPPScore","TypeScore","CombinedCPPScore","CombinedTypeScore","FilterRef","CPPScoreRank","TypeScoreRank"
"30","S02001767","Dalgety Bay East","Fife",45,"Accessible Small Town, Dep - OP, HH Inc 0-50%","Child Poverty","Raw data","2023/24",7.26835741749516,"Child Poverty (%)","No",1.31739510419076,2.73944570353262,7.18748542920899,12.3198729860342,"Child Poverty",92,104
"31","S02001768","Crossgates and Halbeath","Fife",43,"Other Urban, Dep - Average, HH Inc 60-80%","Child Poverty","Raw data","2023/24",13.2289837508756,"Child Poverty (%)","No",0.567900061471598,-0.248357533564949,-1.13979507194467,-6.46305178523953,"Child Poverty",40,14
"32","S02001769","Hill of Beath and Kingseat","Fife",29,"Other Urban, Dep - Child, HH Inc 40-60%","Child Poverty","Raw data","2023/24",24.1463922252418,"Child Poverty (%)","No",-0.804865663676126,-0.734449272623968,-4.12982044676235,-3.92158968114887,"Child Poverty",25,25
"33","S02001770","Cowdenbeath South","Fife",38,"Other Urban, Dep - Average, HH Inc 0-20%","Child Poverty","Raw data","2023/24",25.4926284419262,"Child Poverty (%)","No",-0.974142735295833,0.130277926296277,-5.23333911220679,0.114432486537088,"Child Poverty",22,53
"34","S02001771","Cowdenbeath North","Fife",41,"Other Urban, Dep - Average, HH Inc 40-50%","Child Poverty","Raw data","2023/24",16.1154211320745,"Child Poverty (%)","No",0.204956574104736,0.27762955776601,-2.36420113405329,-3.61911297295668,"Child Poverty",36,27
"35","S02001772","Kelty West","Fife",47,"Accessible Small Town, Dep - Child, HH Inc 0-100%","Child Poverty","Raw data","2023/24",20.8775217700316,"Child Poverty (%)","No",-0.393834663837942,-0.851723292272173,-2.93106649004811,-5.48475104923538,"Child Poverty",30,18
"36","S02001773","Kelty East","Fife",50,"Accessible Small Town, Dep - Average, HH Inc 0 -50%","Child Poverty","Raw data","2023/24",16.5526267588683,"Child Poverty (%)","No",0.149981906745401,0.692435940538096,-0.620857759345577,1.80251340584529,"Child Poverty",45,71
"37","S02001774","Lochore and Crosshill","Fife",50,"Accessible Small Town, Dep - Average, HH Inc 0 -50%","Child Poverty","Raw data","2023/24",34.5201949166527,"Child Poverty (%)","No",-2.10927786073288,-2.81159632054308,-7.61428495200324,-11.4141001154909,"Child Poverty",12,3
"38","S02001775","Ballingry","Fife",47,"Accessible Small Town, Dep - Child, HH Inc 0-100%","Child Poverty","Raw data","2023/24",28.8341804284645,"Child Poverty (%)","No",-1.3943127826738,-1.77299564922713,-9.04017263399196,-12.4039093706694,"Child Poverty",7,2
"39","S02001776","Cardenden","Fife",50,"Accessible Small Town, Dep - Average, HH Inc 0 -50%","Child Poverty","Raw data","2023/24",17.8801613463792,"Child Poverty (%)","No",-0.0169436035496489,0.433540358148225,-3.54481232052453,-4.5154747101481,"Child Poverty",26,23
"40","S02001777","Lochgelly East","Fife",41,"Other Urban, Dep - Average, HH Inc 40-50%","Child Poverty","Raw data","2023/24",15.1839497824349,"Child Poverty (%)","No",0.322080701661625,0.536623376516203,-0.56210843762067,0.0446662120093786,"Child Poverty",46,51
"41","S02001778","Lochgelly West and Lumphinnans","Fife",38,"Other Urban, Dep - Average, HH Inc 0-20%","Child Poverty","Raw data","2023/24",29.3195342549218,"Child Poverty (%)","No",-1.45534165221681,-0.596300864047943,-5.80223844891783,-1.08076229374052,"Child Poverty",19,43
"42","S02001779","Aberdour and Auchtertool","Fife",60,"Accessible Rural, Dep - not OP or Child, HH Inc 60-80%","Child Poverty","Raw data","2023/24",10.3869670391812,"Child Poverty (%)","No",0.925258049978811,0.452367517303793,2.6495496892941,0.147180057549547,"Child Poverty",66,55
"43","S02001780","Burntisland West","Fife",47,"Accessible Small Town, Dep - Child, HH Inc 0-100%","Child Poverty","Raw data","2023/24",18.1701171546195,"Child Poverty (%)","No",-0.0534029332792621,-0.53824283039162,1.06269341598992,-2.38477729846562,"Child Poverty",56,30
"44","S02001781","Burntisland East","Fife",45,"Accessible Small Town, Dep - OP, HH Inc 0-50%","Child Poverty","Raw data","2023/24",15.9045667295031,"Child Poverty (%)","No",0.231469614953775,0.504592823193183,3.0321351051286,3.65444938445161,"Child Poverty",70,81
"45","S02001782","Kinghorn","Fife",54,"Accessible Rural, Dep -OP, HH Inc 0-40%","Child Poverty","Raw data","2023/24",19.8174292150174,"Child Poverty (%)","No",-0.260537578872707,-0.531005292217257,1.54991309677793,-1.37780589508789,"Child Poverty",58,40
"46","S02001783","Kirkcaldy Linktown & Seafield","Fife",29,"Other Urban, Dep - Child, HH Inc 40-60%","Child Poverty","Raw data","2023/24",31.4732545322851,"Child Poverty (%)","No",-1.72615256721206,-2.05417203731809,-6.66708995662923,-7.54597556913462,"Child Poverty",16,10
"47","S02001784","Kirkcaldy Central","Fife",38,"Other Urban, Dep - Average, HH Inc 0-20%","Child Poverty","Raw data","2023/24",24.0018860239667,"Child Poverty (%)","No",-0.786695311192977,0.413311237196598,-5.52957028994769,3.86800428412458,"Child Poverty",20,83
"48","S02001785","Kirkcaldy Bennochy East","Fife",23,"Other Urban, Dep - OP, HH Inc 0-30%","Child Poverty","Raw data","2023/24",28.9656432109455,"Child Poverty (%)","No",-1.41084304279425,-1.50567675586324,-3.35498537080704,-2.05996054877836,"Child Poverty",28,34
"49","S02001786","Kirkcaldy Bennochy West","Fife",41,"Other Urban, Dep - Average, HH Inc 40-50%","Child Poverty","Raw data","2023/24",26.1986163206964,"Child Poverty (%)","No",-1.06291434850615,-2.52598348746097,-4.27115306538687,-7.07805253853792,"Child Poverty",24,12
"50","S02001787","Kirkcaldy Raith","Fife",26,"Other Urban, Dep - OP, HH Inc 70-100%","Child Poverty","Raw data","2023/24",6.4913154845382,"Child Poverty (%)","No",1.41510112435758,0.275750522686698,8.51619710033354,2.34707379948703,"Child Poverty",97,75
"51","S02001788","Kirkcaldy Newliston and Redcraigs","Fife",24,"Other Urban, Dep - OP, HH Inc 30-50%","Child Poverty","Raw data","2023/24",17.4317294889115,"Child Poverty (%)","No",0.0394426611432388,-0.428336194282462,3.8627593183566,1.59962370645123,"Child Poverty",76,68
"52","S02001789","Kirkcaldy Templehall West","Fife",27,"Other Urban, Dep - Child, HH Inc 0-20%","Child Poverty","Raw data","2023/24",28.6332207641394,"Child Poverty (%)","No",-1.3690439159853,-0.202422348124548,-7.84962353531152,-0.0800304345539446,"Child Poverty",9,50
"53","S02001790","Kirkcaldy Templehall East","Fife",28,"Other Urban, Dep - Child, HH Inc 20-40%","Child Poverty","Raw data","2023/24",34.2317462889159,"Child Poverty (%)","No",-2.07300804536849,-1.82735946363187,-9.18688797857245,-5.38910478643981,"Child Poverty",6,19
"54","S02001791","Kirkcaldy Dunnikier","Fife",26,"Other Urban, Dep - OP, HH Inc 70-100%","Child Poverty","Raw data","2023/24",9.26742222578962,"Child Poverty (%)","No",1.0660307206359,-0.437651805857262,8.12620356356037,1.30541915924285,"Child Poverty",95,66
"55","S02001792","Kirkcaldy Chapel","Fife",30,"Other Urban, Dep - Child, HH Inc 60-80%","Child Poverty","Raw data","2023/24",11.134019229486,"Child Poverty (%)","No",0.831322969675195,0.56183484565959,0.378101473463736,-0.158562096662628,"Child Poverty",53,49
"56","S02001793","Kirkcaldy Hayfield and Smeaton","Fife",28,"Other Urban, Dep - Child, HH Inc 20-40%","Child Poverty","Raw data","2023/24",29.4596905357242,"Child Poverty (%)","No",-1.47296504140313,-1.02201181233015,-11.022128192811,-7.38191923155646,"Child Poverty",5,11
"57","S02001794","Kirkcaldy Pathhead","Fife",23,"Other Urban, Dep - OP, HH Inc 0-30%","Child Poverty","Raw data","2023/24",20.6943894015841,"Child Poverty (%)","No",-0.370807418941855,0.0611115060415617,-0.533034040764482,2.80980331904946,"Child Poverty",47,77
