year,la,Crime Rate,Child Poverty,Out of Work Benefits,Attainment,Participation,Emergency Admissions,Depopulation,Early Mortality
2016,East Dunbartonshire,0.298886623,0.355292496,,0.318704568,0.31365848,0.328165493,0.049254704,0.280291571
2016,East Lothian,0.213112732,0.240286444,,0.232366472,0.229746802,0.208871633,-0.004751909,0.178639988
2016,East Renfrewshire,0.375420797,0.411393252,,0.401607764,0.361628467,0.338414856,-0.001276256,0.390229938
2016,"Edinburgh, City of",0.362217609,0.443813245,,0.440567113,0.3607996,0.363412412,0.055575265,0.430720676
2016,Eilean Siar,0.021493139,0.081597377,,0.025104845,0.021398357,0.024706443,-0.03567417,-0.007182399
2016,Falkirk,0.226870807,0.277246548,,0.251836365,0.256963764,0.188288285,-0.089896601,0.233131649
2016,Fife,0.323265666,0.357779935,,0.325152369,0.30301345,0.28931007,-0.106508736,0.314025285
2016,Glasgow City,0.227234615,0.216494261,,0.28675055,0.236883933,0.20405882,-0.087626691,0.237015694
2016,Highland,0.207721559,0.228417297,,0.259792887,0.153611747,0.209507729,-0.100399334,0.207706412
2016,Inverclyde,0.321734484,0.358290915,,0.330839424,0.315202544,0.270345604,-0.211690304,0.323173038
2016,Midlothian,0.209154372,0.266821466,,0.264805164,0.209417501,0.189247249,-0.123943684,0.218891113
2016,Moray,0.125816878,0.166708637,,0.118427884,0.114773425,0.08505201,-0.028480517,0.090953646
2016,North Ayrshire,0.285427679,0.306099712,,0.290717295,0.28203809,0.248448491,-0.081090939,0.273936736
2016,North Lanarkshire,0.177177689,0.221002836,,0.206145412,0.192016933,0.1755405,-0.042171143,0.184089033
2016,Orkney Islands,0.113511831,0.095671968,,0.065791193,0.011214435,0.066140294,-0.160893235,0.085962137
2016,Perth and Kinross,0.240004117,0.285528458,,0.274243856,0.239028247,0.240224826,-0.02706838,0.245484606
2016,Renfrewshire,0.286598508,0.351651776,,0.32455339,0.331775231,0.30683428,-0.009332646,0.28138133
2016,Scottish Borders,0.22856381,0.233405314,,0.234667299,0.221372792,0.160862708,-0.1661911,0.177497207
2016,Shetland Islands,0.089035725,0.095802041,,-0.060939034,0.008631385,0.045565882,-0.068162455,0.078391284
2016,South Ayrshire,0.2630995,0.318330613,,0.259534006,0.297391486,0.208177655,0.015773518,0.264556979
2016,South Lanarkshire,0.215571071,0.26393165,,0.254415423,0.216067669,0.135600923,-0.078956814,0.222987443
